first_seen_at_timestamp,first_seen_date,first_seen_weekday,first_seen_hour,category,location,lat,lon
2026-04-10T00:55:39,2026-04-10,5,0,Gefahrenstelle,Asangstraße,48.773477624792,9.2775146306246
2026-04-10T00:55:39,2026-04-10,5,0,Straße - Schäden,Dattelweg,48.73910599025,9.2131283804153
2026-04-10T00:55:39,2026-04-10,5,0,Gehweg - Schäden,In der Nähe von Mühlhäuser Straße 368,48.837472429163,9.2240476394753
2026-04-10T00:55:39,2026-04-10,5,0,Gehweg - Verschmutzung,Vaihinger Straße,48.728146025283,9.1382517506019
2026-04-10T00:55:39,2026-04-10,5,0,Gefahrenstelle,Robert-Leicht-Straße,48.740791261929,9.1074926308776
2026-04-10T00:55:39,2026-04-10,5,0,Gehweg - Verschmutzung,Alte Untertürkheimer Straße,48.8961,9.1922
2026-04-10T00:55:39,2026-04-10,5,0,Straße - Verschmutzung,Augsburger Straße,48.775726922588,9.2580225362151
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,In der Nähe von Löwentorstraße 39,48.806860438685,9.1862486020369
2026-04-10T00:55:39,2026-04-10,5,0,Straße - Verschmutzung,In der Nähe von Zellerstraße 12/1,48.762656055875,9.1778133355196
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Mannheimer Straße,48.810465959223,9.1957242117247
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Burgfelder Straße,48.727845111506,9.1415824380166
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Zazenhäuser Straße,48.838717341638,9.1877528533381
2026-04-10T00:55:39,2026-04-10,5,0,Radweg - Scherben,In der Nähe von Aldinger Straße 149,48.843990047529,9.2361020278573
2026-04-10T00:55:39,2026-04-10,5,0,Ampel,Heilbronner Straße,48.78757754026,9.1808910626119
2026-04-10T00:55:39,2026-04-10,5,0,Verkehrszeichen,In der Nähe von Augsburger Straße 622,48.765895770409,9.2663799174642
2026-04-10T00:55:39,2026-04-10,5,0,Sonstiges,Schmale Straße,48.774838242043,9.1757276668623
2026-04-10T00:55:39,2026-04-10,5,0,Sonstiges,Linzer Straße,48.812192481635,9.1547595432211
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Werastraße,48.788793896826,9.1962253330586
2026-04-10T00:55:39,2026-04-10,5,0,Gefahrenstelle,In der Nähe von Mühlhäuser Straße 368,48.837439761088,9.2239514278615
2026-04-10T00:55:39,2026-04-10,5,0,Brunnen / Gewässer,Mittenfeldstraße,48.805166146838,9.0864799945645
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Krötenweg,48.803724270625,9.0897868128741
2026-04-10T00:55:39,2026-04-10,5,0,Straße - Schäden,In der Nähe von Streibgasse 15,48.726067929771,9.1482513450868
2026-04-10T00:55:39,2026-04-10,5,0,Gehweg - Verschmutzung,Ludwigstraße,48.772294138719,9.1557392925336
2026-04-10T00:55:39,2026-04-10,5,0,Gehweg - Schäden,Burgstallstraße,48.756956679533,9.1483855260733
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Weißenburgstraße,48.76830442486,9.17751485526
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,Möhringer Straße,48.759980458729,9.1543813727704
2026-04-10T00:55:39,2026-04-10,5,0,Gefahrenstelle,In der Nähe von Dinghofstraße 5,48.724954271918,9.1468076686421
2026-04-10T00:55:39,2026-04-10,5,0,Sonstiges,Schockenriedstraße,48.724767677628,9.1268072627419
2026-04-10T00:55:39,2026-04-10,5,0,SSB Haltestelle,In der Nähe von Leonberger Straße 2,48.756830027706,9.144104123953
2026-04-10T00:55:39,2026-04-10,5,0,Straßeneinlauf - verstopft,Silberburgstraße,48.776113236622,9.1652107803064
2026-04-10T00:55:39,2026-04-10,5,0,Verkehrszeichen,Blumenstraße,48.774261500152,9.1877709854054
2026-04-10T00:55:39,2026-04-10,5,0,Gehweg - Verschmutzung,Mittenfeldstraße,48.804275602567,9.0864103701
2026-04-10T00:55:39,2026-04-10,5,0,Straße - Verschmutzung,Gögelbachstraße,48.786695907288,9.2607334802695
2026-04-10T00:55:39,2026-04-10,5,0,Verkehrszeichen,In der Nähe von Trollingersteg,48.794505239764,9.2063288504702
2026-04-10T00:55:39,2026-04-10,5,0,Gefahrenstelle,Dattelweg,48.738662332456,9.2110864310513
2026-04-10T00:55:39,2026-04-10,5,0,Ampel,In der Nähe von Hallschlag 30,48.814688236414,9.2067495268368
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,In der Nähe von Rotweg / Sersheimer Straße,48.834847887904,9.1920282406871
2026-04-10T00:55:39,2026-04-10,5,0,Wilder Müll,In der Nähe von Auf der Steig / Rostocker Straße,48.815736261069,9.208044298251
2026-04-10T00:55:39,2026-04-10,5,0,Radweg - Schäden,In der Nähe von Zum Lauchwald 25,48.734961265298,9.0990417371268
2026-04-10T00:55:39,2026-04-10,5,0,Sonstiges,Böblinger Straße,48.764067517389,9.1652801289291
2026-04-10T05:07:50,2026-04-10,5,5,Gefahrenstelle,In der Nähe von Am Westkai 65,48.750817996048,9.2639796243083
2026-04-10T05:50:34,2026-04-10,5,5,Gefahrenstelle,Filderstraße,48.763924098884,9.1710901672003
